norad,name,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
12633,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.022,34,0,,,,,,,
12634,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.082,10,0,,,,,,,
12902,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.097,45,0,,,,,,,
13099,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.323,25,0,,,,,,,
13218,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.193,42,0,,,,,,,
13584,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.468,3,0,,,,,,,
13644,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.157,27,0,,,,,,,
13675,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.240,10,0,,,,,,,
13676,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.937,63,0,,,,,,,
13885,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.936,183,0,,,,,,,
13913,SL-12 R/B(AUX MOTOR),RESONANT,25.700,2270,1,2446005.6148,1984-11-01,2444273.5000,1980-02-04,-1732.1,1220.6,0.7153
13980,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.214,43,0,,,,,,,
14166,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.888,62,0,,,,,,,
14789,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.445,32,0,,,,,,,
14828,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.055,170,0,,,,,,,
14829,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.051,191,0,,,,,,,
14945,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.092,42,0,,,,,,,
15160,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.089,150,0,,,,,,,
15577,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.254,25,0,,,,,,,
15632,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.258,23,0,,,,,,,
15633,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.261,19,0,,,,,,,
15664,SL-6 R/B(2),NOT_RESONANT,64.987,5,0,,,,,,,
16670,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.279,23,0,,,,,,,
16733,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.656,54,0,,,,,,,
17149,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.304,8,0,,,,,,,
17709,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.391,13,0,,,,,,,
17710,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.175,50,0,,,,,,,
17909,SL-12 R/B(AUX MOTOR),NOT_RESONANT,64.975,10,0,,,,,,,
18111,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.525,383,0,,,,,,,
18447,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.046,110,0,,,,,,,
18448,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.144,96,0,,,,,,,
18528,SL-12 R/B(AUX MOTOR),NOT_RESONANT,58.289,147,0,,,,,,,
18635,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.083,69,0,,,,,,,
18636,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.049,89,0,,,,,,,
19036,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.136,31,0,,,,,,,
19037,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.287,20,0,,,,,,,
19082,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.269,19,0,,,,,,,
19083,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.372,11,0,,,,,,,
19093,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.946,20,0,,,,,,,
20354,SL-12 R/B,NOT_RESONANT,76.449,237,0,,,,,,,
20372,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.009,103,0,,,,,,,
21024,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.996,85,0,,,,,,,
21739,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.354,17,0,,,,,,,
21740,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.182,51,0,,,,,,,
21764,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.157,72,0,,,,,,,
23635,SL-6 R/B(2),NOT_RESONANT,64.843,8,0,,,,,,,
25517,ARIANE 42L R/B,NO_TLE_FILE,,,,,,,,,,
26558,DELTA 1 R/B,NO_TLE_FILE,,,,,,,,,,
27542,SL-12 R/B(2),NOT_RESONANT,84.361,1059,0,,,,,,,
27963,SL-12 DEB,NOT_RESONANT,65.249,319,0,,,,,,,
