object,zone,it,tobs,apobs,e1,e2,e3,bn1,bn2,bn3,rms_baseline,s11,s21,s31,s12,s22,s32,s13,s23,s33
42928                         , 1, 35,   15.5211,   6229.6024,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5960.8970,     6087.5556,     6215.8882,     6095.8338,     6222.6252,     6351.1059,     6128.3422,     6255.1712,     6383.6929,
42928                         , 1, 36,   16.0390,   6225.7721,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5953.6311,     6080.2867,     6208.6160,     6092.9895,     6219.7783,     6348.2561,     6126.5599,     6253.3866,     6381.9058,
42928                         , 1, 37,   16.2492,   6224.2819,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5950.6899,     6077.3447,     6205.6729,     6091.8410,     6218.6289,     6347.1057,     6125.8420,     6252.6678,     6381.1862,
42928                         , 1, 38,   18.0885,   6212.3213,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5925.1019,     6051.7552,     6180.0793,     6081.9247,     6208.7090,     6337.1814,     6119.6872,     6246.5102,     6375.0252,
42928                         , 1, 39,   18.2997,   6210.0123,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5922.1707,     6048.8242,     6177.1482,     6080.7967,     6207.5809,     6336.0531,     6118.9919,     6245.8149,     6374.3299,
42928                         , 1, 40,   19.0559,   6201.7947,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5911.6759,     6038.3303,     6166.6541,     6076.7672,     6203.5514,     6332.0234,     6116.5136,     6243.3370,     6371.8523,
42928                         , 1, 41,   19.2690,   6200.6099,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5908.7159,     6035.3705,     6163.6943,     6075.6327,     6202.4169,     6330.8888,     6115.8170,     6242.6406,     6371.1559,
42928                         , 1, 42,   19.4808,   6197.2987,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5906.2397,     6033.1590,     6161.7623,     6074.5044,     6201.2887,     6329.7605,     6115.1245,     6241.9483,     6370.4638,
42928                         , 2,  1,    0.0000,   5608.2901,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5411.3566,     5599.3235,     5791.1895,     5411.3566,     5599.3235,     5791.1895,     5411.3566,     5599.3235,     5791.1895,
42928                         , 2,  2,    0.4666,   5604.5530,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5401.2975,     5589.2488,     5781.0960,     5405.0429,     5592.9994,     5784.8529,     5406.7506,     5594.7095,     5786.5658,
42928                         , 2,  3,    0.6666,   5602.4999,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5396.9925,     5584.9375,     5776.7771,     5402.3408,     5590.2930,     5782.1414,     5404.7792,     5592.7347,     5784.5871,
42928                         , 2,  4,    0.8996,   5601.0770,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5391.9809,     5579.9190,     5771.7500,     5399.1951,     5587.1426,     5778.9852,     5402.4841,     5590.4359,     5782.2838,
42928                         , 2,  5,    1.3846,   5596.1829,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5381.5644,     5569.4892,     5761.3037,     5392.6573,     5580.5955,     5772.4267,     5397.7140,     5585.6584,     5777.4974,
42928                         , 2,  6,    1.6870,   5593.5270,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5375.0811,     5562.9984,     5754.8034,     5388.5885,     5576.5213,     5768.3459,     5394.7453,     5582.6854,     5774.5192,
42928                         , 2,  7,    2.4107,   5587.8279,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5359.6051,     5547.5070,     5739.2918,     5378.8775,     5566.7990,     5758.6093,     5387.6607,     5575.5916,     5767.4139,
42928                         , 2,  8,    2.5032,   5586.9346,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5357.6288,     5545.5290,     5737.3114,     5377.6377,     5565.5579,     5757.3665,     5386.7564,     5574.6861,     5766.5071,
42928                         , 2,  9,    2.8348,   5584.1490,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5350.5591,     5538.4536,     5730.2285,     5373.2030,     5561.1188,     5752.9219,     5383.5218,     5571.4479,     5763.2644,
