object,zone,nzone,e_span,bn_span,rms_baseline,pop,gen,nevals,nconverged,mean_rms,min_rms,max_rms,mean_bn,std_bn
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8,  10,     88,  0,    8.497214,    7.873495,    8.567161,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8,  20,    168,  0,    8.497116,    7.873495,    8.567161,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8,  40,    328,  0,    8.497096,    7.873495,    8.567155,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8,  75,    608,  0,    8.497009,    7.873495,    8.566504,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8, 125,   1008,  0,    8.497009,    7.873495,    8.566504,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8, 200,   1608,  0,    8.496954,    7.873495,    8.566349,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  8, 500,   4008,  0,    8.496919,    7.873495,    8.566240,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10,  10,    110,  0,    8.485283,    7.873495,    8.579107,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10,  20,    210,  0,    8.483411,    7.873495,    8.561326,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10,  40,    410,  0,    8.483411,    7.873495,    8.561326,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10,  75,    760,  0,    8.480749,    7.873495,    8.554296,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10, 125,   1260,  0,    8.479895,    7.873495,    8.552507,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10, 200,   2010,  0,    8.479050,    7.873495,    8.548457,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 10, 500,   5010,  0,    8.478531,    7.873495,    8.548457,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14,  10,    154,  0,    8.033230,    7.642198,    8.707149,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14,  20,    294,  0,    7.501750,    6.859764,    8.570513,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14,  40,    574,  0,    7.240134,    6.864786,    7.683739,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14,  75,   1064,  0,    7.150699,    6.862616,    7.643172,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14, 125,   1764,  0,    7.042761,    6.862638,    7.485269,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14, 200,   2814,  0,    7.127194,    6.862351,    7.622570,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 14, 500,   7014,  0,    6.957519,    6.862610,    7.318196,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20,  10,    220,  0,   17.808125,    7.371297,   42.894447,  101.5662,   10.1482
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20,  20,    420,  0,   16.667481,    7.371297,   34.371719,  104.5153,    6.7230
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20,  40,    820,  1,   14.198365,    5.589626,   27.251128,  107.2984,    2.4153
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20,  75,   1520,  1,   12.154986,    5.589626,   23.070098,  107.6717,    2.5654
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20, 125,   2520,  2,    8.884549,    5.589626,   11.823540,  108.2877,    2.3225
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20, 200,   4020,  3,    7.788519,    5.589626,   11.823540,  109.1996,    1.5243
42928                         , 2, 48,  0.014476,   60.6785,    6.387748, 20, 500,  10020,  6,    7.094884,    5.589626,   11.823540,  109.9225,    1.6776
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4,  10,     44,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4,  20,     84,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4,  40,    164,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4,  75,    304,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4, 125,    504,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4, 200,    804,  0,   13.337841,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  4, 500,   2004,  0,   13.337840,   10.620368,   13.639782,   91.2117,    7.2431
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6,  10,     66,  0,   13.089893,   10.620368,   13.639526,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6,  20,    126,  0,   13.089893,   10.620368,   13.639524,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6,  40,    246,  0,   13.089893,   10.620368,   13.639524,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6,  75,    456,  0,   13.089893,   10.620368,   13.639523,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6, 125,    756,  0,   13.089893,   10.620368,   13.639522,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6, 200,   1206,  0,   13.089893,   10.620368,   13.639522,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  6, 500,   3006,  0,   13.089892,   10.620368,   13.639522,   90.5244,    7.3051
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8,  10,     88,  0,   12.071924,    3.459468,   13.639813,   88.9115,    8.1747
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8,  20,    168,  0,   12.071864,    3.459468,   13.639605,   88.9115,    8.1747
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8,  40,    328,  0,   12.071842,    3.459468,   13.639528,   88.9110,    8.1743
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8,  75,    608,  0,   12.071834,    3.459468,   13.639528,   88.9107,    8.1742
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8, 125,   1008,  0,   12.071826,    3.459468,   13.639481,   88.9110,    8.1743
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8, 200,   1608,  0,   12.071793,    3.459468,   13.639481,   88.9104,    8.1740
42928                         , 3, 50,  0.012235,   91.0177,    1.155043,  8, 500,   4008,  0,   12.071729,    3.459468,   13.639314,   88.9101,    8.1739
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10,  10,    110,  0,   12.041860,    3.459468,   13.632180,   89.1619,    8.3518
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10,  20,    210,  0,   12.041737,    3.459468,   13.632180,   89.1617,    8.3516
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10,  40,    410,  0,   12.040668,    3.459468,   13.632180,   89.1617,    8.3516
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10,  75,    760,  0,   12.039388,    3.459468,   13.625604,   89.1617,    8.3516
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10, 125,   1260,  0,   12.038684,    3.459468,   13.624116,   89.1614,    8.3515
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10, 200,   2010,  0,   12.038276,    3.459468,   13.623598,   89.1614,    8.3515
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 10, 500,   5010,  0,   12.038064,    3.459468,   13.622478,   89.1614,    8.3515
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14,  10,    154,  0,   12.602160,    3.459468,   21.084292,   89.1258,    8.3326
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14,  20,    294,  0,   11.514700,    3.459468,   13.435896,   88.8926,    8.1639
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14,  40,    574,  0,   11.846435,    3.459468,   16.780359,   89.0699,    8.2830
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14,  75,   1064,  0,   11.475103,    3.459468,   13.353636,   89.0607,    8.2780
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14, 125,   1764,  0,   11.486437,    3.459468,   13.047508,   88.8835,    8.1586
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14, 200,   2814,  0,   11.317633,    3.459468,   13.019972,   88.8838,    8.1587
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 14, 500,   7014,  0,   11.258548,    3.459468,   12.622700,   88.8657,    8.1483
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20,  10,    220,  0,    9.915122,    1.838988,   19.383473,   80.4143,    7.1671
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20,  20,    420,  1,    9.258954,    1.062856,   19.383473,   78.5663,    7.2241
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20,  40,    820,  1,    8.216380,    1.026509,   19.383473,   77.4225,    4.1100
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20,  75,   1520,  1,    8.201566,    0.878365,   19.383473,   77.4136,    4.1136
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20, 125,   2520,  2,    6.273762,    0.725095,   19.383473,   76.2302,    3.1601
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20, 200,   4020,  2,    5.637327,    0.725095,   19.383473,   75.9042,    2.9234
42928                         , 3, 50,  0.012235,   91.0177,    1.155043, 20, 500,  10020,  3,    2.658408,    0.725095,    5.148190,   75.2298,    2.0194
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4,  10,     44,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4,  20,     84,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4,  40,    164,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4,  75,    304,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4, 125,    504,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4, 200,    804,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  4, 500,   2004,  0,   11.556366,    5.179258,   12.878228,   74.0981,    8.3928
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6,  10,     66,  0,    9.713521,    5.179258,   10.251234,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6,  20,    126,  0,    9.713520,    5.179258,   10.251233,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6,  40,    246,  0,    9.713519,    5.179258,   10.251233,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6,  75,    456,  0,    9.713518,    5.179258,   10.251231,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6, 125,    756,  0,    9.713517,    5.179258,   10.251231,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6, 200,   1206,  0,    9.713515,    5.179258,   10.251225,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  6, 500,   3006,  0,    9.713515,    5.179258,   10.251225,   74.0691,    8.4004
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8,  10,     88,  0,    9.410951,    5.179258,   10.242325,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8,  20,    168,  0,    9.410942,    5.179258,   10.242281,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8,  40,    328,  0,    9.410935,    5.179258,   10.242281,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8,  75,    608,  0,    9.410925,    5.179258,   10.242281,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8, 125,   1008,  0,    9.410909,    5.179258,   10.242185,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8, 200,   1608,  0,    9.410897,    5.179258,   10.242161,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419,  8, 500,   4008,  0,    9.410888,    5.179258,   10.242150,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10,  10,    110,  0,    9.398174,    5.179258,   10.234134,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10,  20,    210,  0,    9.397706,    5.179258,   10.231692,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10,  40,    410,  0,    9.396036,    5.179258,   10.230580,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10,  75,    760,  0,    9.394407,    5.179258,   10.222601,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10, 125,   1260,  0,    9.392789,    5.179258,   10.218693,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10, 200,   2010,  0,    9.391827,    5.179258,   10.210749,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 10, 500,   5010,  0,    9.391822,    5.179258,   10.210749,   77.2210,   10.5295
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14,  10,    154,  0,    8.368987,    3.701818,   10.290701,   78.0747,   10.4154
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14,  20,    294,  0,    8.244967,    3.701818,   10.206312,   78.1850,   10.3244
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14,  40,    574,  0,    8.389768,    3.701818,   10.275184,   78.1871,   10.3228
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14,  75,   1064,  0,    8.112859,    3.701818,    9.237336,   78.1679,   10.3379
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14, 125,   1764,  0,    8.211355,    3.701818,   10.195548,   76.0100,    9.5042
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14, 200,   2814,  0,    8.074870,    3.701818,    9.195997,   76.0278,    9.4931
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 14, 500,   7014,  0,    8.078627,    3.701818,    9.196004,   76.0314,    9.4908
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20,  10,    220,  0,    5.409218,    3.051582,    7.460167,   83.7620,    7.5668
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20,  20,    420,  0,    4.357536,    2.143725,    6.736768,   81.7915,    5.8888
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20,  40,    820,  0,    4.314164,    2.133731,    6.736768,   81.4235,    5.6595
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20,  75,   1520,  1,    2.870487,    0.758409,    4.791602,   82.4515,    3.7145
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20, 125,   2520,  1,    2.806540,    0.758409,    4.791602,   82.2028,    3.6578
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20, 200,   4020,  1,    2.189569,    0.758409,    3.840022,   82.9079,    2.7066
42928                         , 4, 47,  0.011624,   45.5089,    0.927419, 20, 500,  10020,  2,    1.445546,    0.758409,    2.647263,   82.3623,    2.1811
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4,  10,     44,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4,  20,     84,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4,  40,    164,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4,  75,    304,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4, 125,    504,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4, 200,    804,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  4, 500,   2004,  0,   40.552989,   13.386433,   91.184023,   80.3697,    5.6434
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6,  10,     66,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6,  20,    126,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6,  40,    246,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6,  75,    456,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6, 125,    756,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6, 200,   1206,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  6, 500,   3006,  0,   31.172593,   13.386433,   72.977691,   83.6915,    7.9325
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8,  10,     88,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8,  20,    168,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8,  40,    328,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8,  75,    608,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8, 125,   1008,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8, 200,   1608,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547,  8, 500,   4008,  1,   22.461323,    9.507280,   51.140599,   85.7714,    7.7326
42928                         , 5, 50,  0.012750,   22.7544,    9.090547, 10,  10,    110,  1,   21.236954,    9.507280,   51.140599,   87.0862,    7.7895
42928                         , 5, 50,  0.012750,   22.7544,    9.090547, 10,  20,    210,  1,   21.236954,    9.507280,   51.140599,   87.0862,    7.7895
42928                         , 5, 50,  0.012750,   22.7544,    9.090547, 10,  40,    410,  1,   21.236954,    9.507280,   51.140599,   87.0862,    7.7895
42928                         , 5, 50,  0.012750,   22.7544,    9.090547, 10,  75,    760,  1,   21.236954,    9.507280,   51.140599,   87.0862,    7.7895
