1 03145U 68014B   06286.83333333 -.00000164 +00000-0 +00000-0 0  9995
2 03145 051.7693 129.2100 5375695 047.4816 357.8378 00.38778328051600
1 03145U 68014B   06289.41666667 -.00000012 +00000-0 +00000-0 0  9993
2 03145 051.7565 129.1828 5380740 047.5215 358.4683 00.38775370051616
1 03145U 68014B   06292.00000000 +.00000137 +00000-0 +00000-0 0  9992
2 03145 051.7570 129.1683 5383998 047.5488 359.1167 00.38776782051625
1 03145U 68014B   06294.54166667 +.00000222 +00000-0 +00000-0 0  9990
2 03145 051.7662 129.1528 5387262 047.5947 353.9044 00.38779379051635
1 03145U 68014B   06297.12500000 +.00000244 +00000-0 +00000-0 0  9994
2 03145 051.7641 129.1190 5390697 047.6598 354.4861 00.38779922051644
1 03145U 68014B   06299.75000000 +.00000213 +00000-0 +00000-0 0  9996
2 03145 051.7542 129.0692 5394986 047.7086 000.9455 00.38776037051655
1 03145U 68014B   06302.29166667 +.00000221 +00000-0 +00000-0 0  9991
2 03145 051.7660 129.0515 5403327 047.7103 355.8286 00.38775350051662
1 03145U 68014B   06304.87500000 +.00000306 +00000-0 +00000-0 0  9994
2 03145 051.7762 129.0482 5416999 047.7913 356.3270 00.38784456051673
1 03145U 68014B   06307.50000000 +.00000321 +00000-0 +00000-0 0  9999
2 03145 051.7332 128.9786 5423523 047.9273 002.6395 00.38781441051684
1 03145U 68014B   06310.04166667 +.00000182 +00000-0 +00000-0 0  9999
2 03145 051.7373 128.9480 5427790 047.9630 357.4899 00.38779571051699
1 03145U 68014B   06312.62500000 +.00000069 +00000-0 +00000-0 0  9992
2 03145 051.7529 128.9362 5436497 048.0051 358.0826 00.38780685051701
1 03145U 68014B   06315.16666667 +.00000129 +00000-0 +00000-0 0  9993
2 03145 051.7436 128.9093 5443880 048.0583 352.8553 00.38777663051715
1 03145U 68014B   06317.75000000 +.00000274 +00000-0 +00000-0 0  9994
2 03145 051.7357 128.8877 5448254 048.0911 353.4957 00.38776382051724
1 03145U 68014B   06320.33333333 +.00000375 +00000-0 +00000-0 0  9992
2 03145 051.7415 128.8770 5451696 048.1232 354.1264 00.38778485051738
1 03145U 68014B   06322.95833333 +.00000409 +00000-0 +00000-0 0  9995
2 03145 051.7452 128.8557 5455341 048.1823 000.5292 00.38781186051745
1 03145U 68014B   06325.54166667 +.00000377 +00000-0 +00000-0 0  9996
2 03145 051.7385 128.8122 5459270 048.2423 001.1299 00.38779291051759
1 03145U 68014B   06328.12500000 +.00000324 +00000-0 +00000-0 0  9998
2 03145 051.7364 128.7716 5465339 048.2632 001.8132 00.38774626051760
1 03145U 68014B   06330.70833333 +.00000344 +00000-0 +00000-0 0  9995
2 03145 051.7560 128.7715 5477316 048.2840 002.4430 00.38778645051770
1 03145U 68014B   06335.79166667 +.00000317 +00000-0 +00000-0 0  9998
2 03145 051.7111 128.6757 5492876 048.4964 351.8468 00.38779930051796
1 03145U 68014B   06338.37500000 +.00000124 +00000-0 +00000-0 0  9994
2 03145 051.7271 128.6580 5499548 048.5284 352.4848 00.38780754051803
1 03145U 68014B   06340.95833333 +.00000041 +00000-0 +00000-0 0  9997
2 03145 051.7313 128.6383 5508798 048.5784 353.0638 00.38779572051815
1 03145U 68014B   06343.54166667 +.00000124 +00000-0 +00000-0 0  9996
2 03145 051.7219 128.6089 5515395 048.6268 353.6718 00.38776665051828
1 03145U 68014B   06346.12500000 +.00000229 +00000-0 +00000-0 0  9992
2 03145 051.7199 128.5933 5519515 048.6582 354.3079 00.38776963051839
1 03145U 68014B   06348.75000000 +.00000270 +00000-0 +00000-0 0  9994
2 03145 051.7225 128.5816 5523370 048.7028 000.7328 00.38779555051849
1 03145U 68014B   06351.29166667 +.00000248 +00000-0 +00000-0 0  9994
2 03145 051.7207 128.5513 5527446 048.7643 355.4953 00.38780770051850
1 03145U 68014B   06353.87500000 +.00000172 +00000-0 +00000-0 0  9999
2 03145 051.7103 128.5009 5532126 048.8133 356.1293 00.38776776051868
1 03145U 68014B   06356.45833333 +.00000115 +00000-0 +00000-0 0  9991
2 03145 051.7186 128.4775 5540621 048.8203 356.8228 00.38775702051879
1 03145U 68014B   06359.00000000 +.00000141 +00000-0 +00000-0 0  9991
2 03145 051.7294 128.4724 5554961 048.8904 351.5183 00.38783668051886
1 03145U 68014B   06361.58333333 +.00000139 +00000-0 +00000-0 0  9992
2 03145 051.6870 128.4095 5562853 049.0188 352.0074 00.38780635051899
1 03145U 68014B   06364.20833333 -.00000030 +00000-0 +00000-0 0  9990
2 03145 051.6825 128.3733 5567241 049.0690 358.4683 00.38779710051901
1 03145U 68014B   07001.75000000 -.00000223 +00000-0 +00000-0 0  9990
2 03145 051.6965 128.3580 5575721 049.1107 353.2486 00.38780461051912
1 03145U 68014B   07004.33333333 -.00000249 +00000-0 +00000-0 0  9993
2 03145 051.6893 128.3302 5584250 049.1654 353.8308 00.38777603051922
1 03145U 68014B   07006.91666667 -.00000151 +00000-0 +00000-0 0  9990
2 03145 051.6791 128.3060 5589720 049.2058 354.4537 00.38775558051935
1 03145U 68014B   07009.50000000 -.00000080 +00000-0 +00000-0 0  9992
2 03145 051.6818 128.2923 5593720 049.2456 355.0780 00.38777419051945
1 03145U 68014B   07012.08333333 -.00000076 +00000-0 +00000-0 0  9992
2 03145 051.6858 128.2741 5597978 049.3010 355.6607 00.38780108051957
1 03145U 68014B   07014.66666667 -.00000128 +00000-0 +00000-0 0  9995
2 03145 051.6765 128.2300 5602339 049.3687 356.2457 00.38779262051963
1 03145U 68014B   07017.25000000 -.00000208 +00000-0 +00000-0 0  9995
2 03145 051.6670 128.1788 5607857 049.4016 356.9203 00.38773641051976
1 03145U 68014B   07019.83333333 -.00000230 +00000-0 +00000-0 0  9994
2 03145 051.6676 128.1861 5618941 049.3833 357.5937 00.38777202051985
1 03145U 68014B   07022.37500000 -.00000187 +00000-0 +00000-0 0  9995
2 03145 051.6492 128.1504 5632974 049.5087 352.2018 00.38783275051990
1 03145U 68014B   07024.95833333 -.00000241 +00000-0 +00000-0 0  9990
2 03145 051.6100 128.0836 5637432 049.6033 352.7941 00.38778137052003
1 03145U 68014B   07027.54166667 -.00000440 +00000-0 +00000-0 0  9998
2 03145 051.6236 128.0658 5643533 049.6372 353.4321 00.38780043052010
1 03145U 68014B   07030.12500000 -.00000573 +00000-0 +00000-0 0  9996
2 03145 051.6274 128.0431 5652669 049.6920 354.0044 00.38779145052021
1 03145U 68014B   07032.70833333 -.00000517 +00000-0 +00000-0 0  9998
2 03145 051.6289 127.9978 5659752 049.7622 354.5979 00.38775475052036
1 03145U 68014B   07035.29166667 -.00000399 +00000-0 +00000-0 0  9992
2 03145 051.6228 127.9777 5664186 049.7965 355.2332 00.38775017052047
1 03145U 68014B   07037.87500000 -.00000339 +00000-0 +00000-0 0  9995
2 03145 051.6270 127.9644 5668228 049.8386 355.8414 00.38777617052052
1 03145U 68014B   07040.45833333 -.00000338 +00000-0 +00000-0 0  9990
2 03145 051.6247 127.9344 5672561 049.9033 356.4160 00.38779389052062
1 03145U 68014B   07043.04166667 -.00000382 +00000-0 +00000-0 0  9996
2 03145 051.5998 127.8890 5676683 049.9540 357.0295 00.38776096052070
1 03145U 68014B   07043.04166667 -.00000382 +00000-0 +00000-0 0  9996
2 03145 051.6004 127.8836 5676637 049.9552 357.0305 00.38776406052078
1 03145U 68014B   07045.58333333 -.00000421 +00000-0 +00000-0 0  9997
2 03145 051.5975 127.8434 5683063 049.9656 351.9281 00.38772613052087
1 03145U 68014B   07048.16666667 -.00000379 +00000-0 +00000-0 0  9995
2 03145 051.6176 127.8460 5697562 049.9999 352.5207 00.38780993052095
1 03145U 68014B   07050.75000000 -.00000321 +00000-0 +00000-0 0  9993
2 03145 051.5698 127.7724 5708605 050.1493 352.9551 00.38780643052109
1 03145U 68014B   07053.33333333 -.00000415 +00000-0 +00000-0 0  9992
2 03145 051.5528 127.7224 5712156 050.2024 353.6203 00.38777599052112
1 03145U 68014B   07058.50000000 -.00000617 +00000-0 +00000-0 0  9992
2 03145 051.5725 127.6743 5728591 050.2967 354.8061 00.38777068052130
1 03145U 68014B   07061.08333333 -.00000484 +00000-0 +00000-0 0  9999
2 03145 051.5575 127.6433 5733908 050.3371 355.4372 00.38774646052149
1 03145U 68014B   07063.66666667 -.00000353 +00000-0 +00000-0 0  9999
2 03145 051.5569 127.6273 5737798 050.3671 356.0774 00.38775692052154
1 03145U 68014B   07066.29166667 -.00000292 +00000-0 +00000-0 0  9998
2 03145 051.5597 127.6093 5741973 050.4200 002.4874 00.38779095052169
1 03145U 68014B   07068.83333333 -.00000282 +00000-0 +00000-0 0  9995
2 03145 051.5515 127.5669 5746089 050.4851 357.2559 00.38779060052176
1 03145U 68014B   07071.41666667 -.00000302 +00000-0 +00000-0 0  9995
2 03145 051.5365 127.5097 5750313 050.5233 357.9176 00.38774479052186
1 03145U 68014B   07074.00000000 -.00000281 +00000-0 +00000-0 0  9992
2 03145 051.5455 127.4888 5759095 050.5176 358.6426 00.38772090052199
1 03145U 68014B   07076.54166667 -.00000184 +00000-0 +00000-0 0  9997
2 03145 051.5513 127.4795 5774530 050.5907 353.3331 00.38784037052207
1 03145U 68014B   07079.12500000 -.00000147 +00000-0 +00000-0 0  9996
2 03145 051.4964 127.3898 5781557 050.7215 353.8581 00.38779580052210
1 03145U 68014B   07081.70833333 -.00000276 +00000-0 +00000-0 0  9994
2 03145 051.5030 127.3620 5786414 050.7489 354.5409 00.38779421052220
1 03145U 68014B   07084.33333333 -.00000395 +00000-0 +00000-0 0  9993
2 03145 051.5160 127.3473 5795862 050.7923 000.9396 00.38779802052231
1 03145U 68014B   07086.87500000 -.00000323 +00000-0 +00000-0 0  9992
2 03145 051.5016 127.3128 5803175 050.8446 355.7175 00.38776119052241
1 03145U 68014B   07089.45833333 -.00000155 +00000-0 +00000-0 0  9990
2 03145 051.4923 127.2875 5807425 050.8749 356.3673 00.38775394052258
1 03145U 68014B   07092.00000000 -.00000041 +00000-0 +00000-0 0  9996
2 03145 051.4977 127.2755 5811009 050.9021 351.1835 00.38777662052265
1 03145U 68014B   07094.58333333 +.00000008 +00000-0 +00000-0 0  9991
2 03145 051.4998 127.2494 5815122 050.9566 351.7737 00.38780109052270
1 03145U 68014B   07097.16666667 +.00000013 +00000-0 +00000-0 0  9993
2 03145 051.4883 127.1975 5819283 051.0147 352.3866 00.38778206052281
