run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
  16, 37819, 365, 6, 0.446349,  36.587, 2456291.2206,   -48.216, 0, 2456014.9028,        3.4212
  16, 37819, 365, 7, 0.410277,  42.712, 2456534.5433,    -3.394, 2, 2456137.3115,        1.8489
  16, 37819, 365, 8, 0.395132,  40.056, 2456536.1443,    -3.332, 0, 2456177.6668,        0.7089
  17, 59347,  30, 1, 0.819929, 148.576,       0.0000,     0.000, 2, 2460427.7600,       10.1639
  17, 59347,  30, 2, 0.819579,  26.299,       0.0000,     0.000, 2, 2460545.0457,       37.9050
  17, 59347,  30, 3, 0.819188,  28.442,       0.0000,     0.000, 2, 2460566.1970,       45.0436
  17, 59347,  30, 4, 0.818606,  26.976,       0.0000,     0.000, 2, 2460588.9092,       43.0225
  17, 59347,  30, 5, 0.816280, 151.197,       0.0000,     0.000, 2, 2460660.6975,        5.2708
  17, 59347,  30, 6, 0.787663, 159.730, 2461117.4414,   -60.209, 2, 2461063.2107,     2228.3793
  17, 59347,  30, 7, 0.784415, 191.152, 2461108.9049,   -86.115, 2, 2461094.2977,    16131.1217
  17, 59347,  30, 8, 0.726724, 197.826, 2461146.8973,   -69.799, 2, 2461124.1365,     3657.0591
  18, 59347,  90, 1, 0.819929, 148.576,       0.0000,     0.000, 2, 2460427.7600,       10.1639
  18, 59347,  90, 2, 0.819618,  26.398,       0.0000,     0.000, 2, 2460523.8674,       15.2362
  18, 59347,  90, 3, 0.819579,  26.299,       0.0000,     0.000, 2, 2460545.0457,       37.9050
  18, 59347,  90, 4, 0.819188,  28.442,       0.0000,     0.000, 2, 2460566.1970,       45.0436
  18, 59347,  90, 5, 0.818606,  26.976,       0.0000,     0.000, 2, 2460588.9092,       43.0225
  18, 59347,  90, 6, 0.817874,  30.202,       0.0000,     0.000, 2, 2460612.3436,       11.4290
  18, 59347,  90, 7, 0.816280, 151.197,       0.0000,     0.000, 2, 2460660.6975,        5.2708
  18, 59347,  90, 8, 0.787663, 159.730, 2461117.4414,   -60.209, 2, 2461063.2107,     2228.3793
  19, 59347, 180, 1, 0.819929, 148.576,       0.0000,     0.000, 2, 2460427.7600,       10.1639
  19, 59347, 180, 2, 0.819618,  26.398,       0.0000,     0.000, 2, 2460523.8674,       15.2362
  19, 59347, 180, 3, 0.819579,  26.299,       0.0000,     0.000, 2, 2460545.0457,       37.9050
