day,apogee_alt_km,sma_km,ecc
   26.5217,   6169.4320,   9542.9784,  0.314848
   26.6291,   6169.0288,   9542.7735,  0.314834
   26.7364,   6168.6252,   9542.5685,  0.314820
   26.8438,   6168.2213,   9542.3635,  0.314806
   26.9512,   6167.8171,   9542.1583,  0.314792
   27.0585,   6167.4126,   9541.9532,  0.314778
   27.1659,   6167.0076,   9541.7480,  0.314764
   27.2733,   6166.6023,   9541.5427,  0.314750
   27.3806,   6166.1965,   9541.3373,  0.314735
   27.4880,   6165.7903,   9541.1319,  0.314721
   27.5953,   6165.3836,   9540.9265,  0.314707
   27.7027,   6164.9765,   9540.7210,  0.314692
   27.8100,   6164.5689,   9540.5155,  0.314678
   27.9173,   6164.1607,   9540.3100,  0.314663
   28.0247,   6163.7521,   9540.1044,  0.314649
   28.1320,   6163.3429,   9539.8988,  0.314634
   28.2393,   6162.9331,   9539.6932,  0.314620
   28.3467,   6162.5228,   9539.4876,  0.314605
   28.4540,   6162.1120,   9539.2820,  0.314590
   28.5613,   6161.7005,   9539.0764,  0.314576
   28.6686,   6161.2885,   9538.8707,  0.314561
   28.7759,   6160.8759,   9538.6651,  0.314546
   28.8832,   6160.4628,   9538.4596,  0.314531
   28.9905,   6160.0490,   9538.2540,  0.314516
   29.0978,   6159.6346,   9538.0485,  0.314501
   29.2051,   6159.2197,   9537.8430,  0.314485
   29.3124,   6158.8042,   9537.6376,  0.314470
   29.4197,   6158.3882,   9537.4322,  0.314455
   29.5270,   6157.9715,   9537.2270,  0.314440
   29.6343,   6157.5544,   9537.0217,  0.314424
   29.7416,   6157.1367,   9536.8166,  0.314409
   29.8488,   6156.7184,   9536.6116,  0.314393
   29.9561,   6156.2997,   9536.4066,  0.314377
   30.0634,   6155.8805,   9536.2018,  0.314362
   30.1706,   6155.4608,   9535.9970,  0.314346
   30.2779,   6155.0408,   9535.7924,  0.314330
   30.3852,   6154.6202,   9535.5880,  0.314314
   30.4924,   6154.1994,   9535.3836,  0.314298
